conductivity_Sm,diameter_nm,length_um,density_gcm3,tensile_strength_MPa,youngs_modulus_GPa,source
65662.100456621,10.0,633.0,,1323.60515021459,90.3321033210332,meta-analysis-2021
937622.395340562,1.6,,,,,meta-analysis-2021
164733.989710987,1.6,,,,,meta-analysis-2021
8145716.852247651,1.6,,,,,meta-analysis-2021
1361876.47598979,1.6,,,,,meta-analysis-2021
10900000.0,1.76,785.0,1.9326241134751772,4200.0,260.0,meta-analysis-2021
62466.2644388205,7.0,532.0,,,,meta-analysis-2021
71175.4837342958,7.0,532.0,,,,meta-analysis-2021
82895.925441023,7.0,532.0,,,,meta-analysis-2021
90299.4520737972,7.0,532.0,,,,meta-analysis-2021
114754.9111422054,7.0,532.0,,,,meta-analysis-2021
129389.1114630889,7.0,532.0,,,,meta-analysis-2021
101112.23458038419,7.0,,,,,meta-analysis-2021
219264.069264069,2.2,,,520.616570327552,,meta-analysis-2021
224242.424242424,2.2,,,566.088631984585,,meta-analysis-2021
226839.8268398259,2.2,,,546.050096339113,,meta-analysis-2021
229004.329004329,2.2,,,550.67437379576,,meta-analysis-2021
233766.23376623302,2.2,,,533.718689788053,,meta-analysis-2021
237229.4372294369,2.2,,,538.342967244701,,meta-analysis-2021
234199.134199134,2.2,,,563.00578034682,,meta-analysis-2021
239393.9393939389,2.2,,,569.17148362235,,meta-analysis-2021
244155.8441558439,2.2,,,566.088631984585,,meta-analysis-2021
246320.346320346,2.2,,,570.712909441232,,meta-analysis-2021
248917.7489177479,2.2,,,580.732177263968,,meta-analysis-2021
111707.3170731707,17.5771971496437,532.0,1.5524934383202,1185.20286396181,85.886075949367,meta-analysis-2021
99999.9999999999,22.8503562945368,532.0,1.46325459317585,1032.45823389021,76.9620253164557,meta-analysis-2021
90873.0158730164,26.1282660332541,532.0,1.36089238845144,872.076372315036,67.2784810126582,meta-analysis-2021
83576.64233576639,28.2660332541567,532.0,1.20603674540682,784.248210023866,68.0379746835443,meta-analysis-2021
71562.50000000019,30.9026128266033,532.0,1.17454068241469,711.694510739856,53.0379746835443,meta-analysis-2021
22000.0,5.44,488.0,0.3235294117647059,76.629213483146,6.24999999999999,meta-analysis-2021
13999.9999999999,6.65,488.0,0.2295081967213114,58.6516853932584,4.77272727272727,meta-analysis-2021
